platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
p01,CA Open Data Portal,n73,Government Operations Agency,GOA,GOA: CA Open Data Portal,Government Operations Agency,4,https://data.ca.gov/,High,Catalog,Yes,Individual Export; Batch Export; Web Services,Not Applicable,csv; excel; kml; json; pdf; shapefile; txt; zip,Yes,html,No,Descriptive,Yes,Irregular,Period of Record,hub,5
p02,Surface Water Database (SURF),n04,Environmental Monitoring Branch,CalEPA-Env Monitoring Branch,CalEPA-Env Monitoring Branch: Surface Water Database (SURF),Environmental Protection Agency,2,https://www.cdpr.ca.gov/docs/emon/surfwtr/surfcont.htm,Low,Website,Yes,Individual Export,Not Applicable,csv; kmz; zip,Yes,No,No,No,No,Yearly or Higher,Period of Record,hub,5
p03,Well Inventory Database,n04,Environmental Monitoring Branch,CalEPA-Env Monitoring Branch,CalEPA-Env Monitoring Branch: Well Inventory Database,Environmental Protection Agency,2,https://www.cdpr.ca.gov/docs/emon/grndwtr/well_inventory_database/index.htm,Low,Website,Yes,Batch Export,Not Applicable,excel,No,No,Yes,No,No,Irregular,Period of Record,hub,5
p04,Integrated Water Quality System Project,n08,State Water Resources Control Board,CalEPA-SWRCB,CalEPA-SWRCB: Integrated Water Quality System Project,Environmental Protection Agency,2,https://www.waterboards.ca.gov/ciwqs/publicreports.html,Low,Website,Yes,Individual Export; Batch Export,Not Applicable,csv,Yes,html,Yes,Administrative,No,Daily or Higher,Period of Record,hub,5
p05,Regulated Site Portal,n02,Environmental Protection Agency,CalEPA,CalEPA: Regulated Site Portal,Environmental Protection Agency,2,https://siteportal.calepa.ca.gov/nsite/,Medium,Map,Yes,Individual Export; Batch Export,Not Applicable,csv,No,No,No,No,No,Irregular,Period of Record,hub,5
p06,EnvirStor,n07,Department of Toxic Substances Control,CalEPA-Toxic Substances,CalEPA-Toxic Substances: EnvirStor,Environmental Protection Agency,2,https://www.envirostor.dtsc.ca.gov/public/,Medium,Catalog,Yes,Batch Export,Not Applicable,excel; html; txt,No,No,No,No,No,Daily or Higher,Period of Record,hub,5
p07,CalEnviroScreen,n24,Office of Environmental Health Hazard Assessment,CalEPA-Env Health Hazards,CalEPA-Env Health Hazards: CalEnviroScreen,Environmental Protection Agency,2,https://oehha.ca.gov/calenviroscreen/maps-data/download-data,Low,Website,Yes,Individual Export; Web Services,Not Applicable,excel; shapefile,Yes,xml,Yes,Administrative; Descriptive,Some,Irregular,Current Only,hub,5
p08,Electronic Water Rights Information Management System (EWRIMS),n20,Water Rights Programs,CalEPA-Water Rights,CalEPA-Water Rights: Electronic Water Rights Information Management System (EWRIMS),Environmental Protection Agency,2,https://www.waterboards.ca.gov/waterrights/water_issues/programs/ewrims/index.html#db,Low,Website,Yes,Individual Export; Batch Export,Not Applicable,csv; shapefile,Yes,xml,Yes,Administrative; Descriptive,No,Irregular,Limited Record,hub,5
p09,Stormwater Multiple Application and Report Tracking System,n14,Stormwater Program,CalEPA-Stormwater,CalEPA-Stormwater: Stormwater Multiple Application and Report Tracking System,Environmental Protection Agency,2,https://smarts.waterboards.ca.gov/smarts/faces/SwSmartsLogin.xhtml,Low,Website,Yes,Individual Export; Batch Export,Not Applicable,excel; html; txt,No,No,No,No,No,Daily or Higher,Limited Record,hub,5
p10,Drinking Water Watch,n19,Drinking Water Program,CalEPA-Drinking Water,CalEPA-Drinking Water: Drinking Water Watch,Environmental Protection Agency,2,https://sdwis.waterboards.ca.gov/PDWW/,Low,Website,Yes,Copy and Paste,Not Applicable,html,Yes,in data,Yes,Administrative; Descriptive,No,Yearly or Higher,Limited Record,hub,5
p11,Drinking Water Information Clearinghouse,n19,Drinking Water Program,CalEPA-Drinking Water,CalEPA-Drinking Water: Drinking Water Information Clearinghouse,Environmental Protection Agency,2,https://drinc.ca.gov/drinc/DWPRepository.aspx,Low,Website,Yes,Individual Export,Not Applicable,excel; csv; pdf,Yes,pdf,Yes,Administrative,No,Unknown,Limited Record,hub,5
p12,Impaired Water Bodies,n16,Water Quality Assessment,CalEPA-Water Quality Assessments,CalEPA-Water Quality Assessments: Impaired Water Bodies,Environmental Protection Agency,2,https://www.waterboards.ca.gov/water_issues/programs/tmdl/integrated2012.shtml,Low,Website,Yes,Individual Export; Web Services,Not Applicable,excel; shapefile,No,No,Yes,No,No,Irregular,Limited Record,hub,5
p13,Public Water System Service Area Boundary Tool,n19,Drinking Water Program,CalEPA-Drinking Water,CalEPA-Drinking Water: Public Water System Service Area Boundary Tool,Environmental Protection Agency,2,http://cehtp.org/water/,Medium,Map,Registration Required,Individual Export; Full Export,Not Applicable,kml; csv; shapefile; geojson,Yes,pdf,Yes,Administrative; Descriptive,No,Irregular,Current Only,hub,5
