"platformID","platform","entity","entityID","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count"
"p15","Animas River reports, data and maps","Clean Water Program","n23","CDPHE","CDPHE: Animas River reports, data and maps","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/animas-river-spill","Medium","Website","Yes","Individual Export","Not Applicable","pdf; excel; shapefile","yes","in data","some","Descriptive","No","Unknown","Period of Record","hub",5
"p16","Publications","Colorado Geologic Survey","n37","CGS","CGS: Publications","Colorado School of Mines","n36","https://coloradogeologicalsurvey.org/gis-data-map-portal/","Medium","Website","Yes","Individual Export","Not Applicable","shapefile","some","xml","No","Administrative","No","Unknown","Unknown","hub",5
"p17","Total Maximum Daily Loads (TMDLs)","Clean Water Program","n23","CDPHE","CDPHE: Total Maximum Daily Loads (TMDLs)","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/total-maximum-daily-loads-tmdls","Medium","Website","Yes","Individual Export","Not Applicable","pdf","yes","in data","No","Descriptive","Unknown","Unknown","Period of Record","hub",5
"p18","Colorado Information Marketplace","Colorado","n43","CO","CO: Colorado Information Marketplace","Colorado","n42","https://data.colorado.gov/","Medium","Catalog","Yes","Web Services; Full Export","Not Applicable","csv; tsv; rdf; xml; rss","yes","html","Yes","Administrative; Descriptive; Structural","Yes","Varies","Varies","hub",5
"p19","Colorado's Water Plan","Water Conservation Board","n02","CDWR","CDWR: Colorado's Water Plan","Department of Natural Resources","n02","https://www.colorado.gov/pacific/cowaterplan","Medium","Website","Yes","Individual Export","Not Applicable","pdf; excel; csv","yes","in data","some","Descriptive; Structural","Yes","Daily or Higher","Varies","hub",5
"p20","Surface Water Conditions","Division of Water Resources","n08","CDWR","CDWR: Surface Water Conditions","Department of Natural Resources","n02","https://dwr.state.co.us/surfacewater/default.aspx","Medium","Catalog","Yes","Individual Export; Link to Source","Broken Links","txt","yes","in data","No","Administrative","No","Daily or Higher","Limited Record","hub",5
"p22","Data Downloads","Colorado Oil and Gas Conservation Commision","n06","COGCC","COGCC: Data Downloads","Department of Natural Resources","n02","https://cogcc.state.co.us/data2.html#/downloads","High","Website","Yes","Full Export","Not Applicable","excel; access; shapefile; pdf; zip","some","pdf","Yes","Administrative; Descriptive","Yes","Monthly or Higher","Period of Record","hub",5
"p23","Reports Portal","Colorado Oil and Gas Conservation Commision","n06","COGCC","COGCC: Reports Portal","Department of Natural Resources","n02","https://cogcc.state.co.us/COGCCReports/production.aspx?id=MonthlyWaterProdByCounty","High","Catalog","Yes","Individual Export","Not Applicable","excel; pdf; csv; xml","some","pdf; html","Yes","Administrative","No","Monthly or Higher","Period of Record","hub",5
"p25","Colorado hazadous waste site assessments","Disease Control and Environmental Epidemiology","n26","CDPHE","CDPHE: Colorado hazadous waste site assessments","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/colorado-site-assessments","Medium","Website","Yes","Individual Export","Not Applicable","pdf","no","no","no","no","no","Varies","Period of Record","hub",5
"p26","Clean water active permits","Clean Water Program","n23","CDPHE","CDPHE: Clean water active permits","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/clean-water-active-permits","Medium","Website","Yes","Full Export","Not Applicable","excel","no","no","no","no","no","Unknown","Current only","hub",5
"p27","Abandoned Mines Water Quality Study","Clean Water Program","n23","CDPHE","CDPHE: Abandoned Mines Water Quality Study","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/WQ-Mine-Impacted-Streams-Task-Force","Medium","Website","Yes","Individual Export","Not Applicable","pdf; excel","some","in data","Some","Descriptive","Yes","Varies","Limited Record","hub",5
"p28","Aquatic pesticides permit","Clean Water Program","n23","CDPHE","CDPHE: Aquatic pesticides permit","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/wq-pesticides-permits","Medium","Website","Yes","Individual Export","Not Applicable","pdf; excel","some","in data","No","Descriptive","Yes","Varies","Varies","hub",5
"p29","Measurable Results Program","Clean Water Program","n23","CDPHE","CDPHE: Measurable Results Program","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/clean-water-measurable-results-program","Medium","Website","Yes","Individual Export","Not Applicable","pdf","some","in data","No","Descriptive","Yes","Unknown","Varies","hub",5
"p30","On Site Wastewater treatment systems","Clean Water Program","n23","CDPHE","CDPHE: On Site Wastewater treatment systems","Department of Public Health and Environment","n21","https://www.colorado.gov/pacific/cdphe/clean-water-site-wastewater-treatment-systems","Medium","Website","Yes","Individual Export","Not Applicable","pdf","some","in data","No","Descriptive","Yes","Yearly or Higher","Limited Record","hub",5
"p31","PFAS 2020 Sampling Project","Safe Drinking Water Program","n24","CDPHE","CDPHE: PFAS 2020 Sampling Project","Department of Public Health and Environment","n21","https://cohealthviz.dphe.state.co.us/t/EnvironmentalEpidemiologyPublic/views/PFAS_PWS_ParticipationDash/PFAS_Sampling_Participation?:origin=card_share_linkand:embed=yand:isGuestRedirectFromVizportal=y","Medium","Map","Yes","Individual Export; Full Export","Not Applicable","pdf; png; excel","no","no","no","no","no","Monthly or Higher","Period of Record","hub",5
"p32","Consumer Confidence Rule","Safe Drinking Water Program","n24","CDPHE","CDPHE: Consumer Confidence Rule","Department of Public Health and Environment","n21","https://www.colorado.gov/cdphe/ccr","Medium","Website","Yes","Individual export","Not Applicable","word","yes","in data","Yes","Descriptive","Yes","Unknown","Period of Record","hub",5
"p33","Web Public Water System and Violation","Safe Drinking Water Program","n24","CDPHE","CDPHE: Web Public Water System and Violation","Department of Public Health and Environment","n21","https://datastudio.google.com/reporting/18DpQAMm-riBo5DfqEUCgDqMspPPhu-Ul/page/q5Fz","Medium","Catalog","Yes","Full Export; Batch Export","Not Applicable","pdf; csv; excel","yes","in data","Yes","Administrative; Descriptive; Structural","yes","Monthly or Higher","Period of Record","hub",5
"p35","Environmental Data","Department of Public Health and Environment","n21","CDPHE","CDPHE: Environmental Data","Department of Public Health and Environment","n21","https://coepht.colorado.gov/environmental-data","Medium","Website","Yes","Individual Export","Not Applicable","pdf; excel","Yes","pdf; html","No","Descriptive; Administrative","Yes","Varies","Limited Record","hub",5
"p39","Utility Providers","Energy Section","n33","PUC","PUC: Utility Providers","Department of Regulatory Agencies","n31","https://puc.colorado.gov/utilityproviders","Medium","Website","Yes","Full Export","Not Applicable","pdf","no","no","No","No","No","Monthly or Higher","Current only","hub",5
"p40","Regions Single POA Reports","Water Quality Section","n41","DOT","DOT: Regions Single POA Reports","Department of Transportation","n39","https://www.codot.gov/business/hydraulics/regions-single-poa-reports","Low","Website","Yes","Individual Export","Not Applicable","pdf","some","in data","No","Descriptive","Some","Varies","Limited Record","hub",5
"p42","Wet Weather Monitoring Program","Water Quality Section","n41","DOT","DOT: Wet Weather Monitoring Program","Department of Transportation","n39","https://www.codot.gov/programs/environmental/water-quality/stormwater-programs/wet-weather-monitoring-program","Low","Website","Yes","Full Export","Not Applicable","pdf; excel","some","in data","No","No","Some","Varies","Varies","hub",5
"p48","Energy and Water Reports to the Legislature","Energy and Water","n33","PUC","PUC: Energy and Water Reports to the Legislature","Department of Regulatory Agencies","n31","https://puc.colorado.gov/energyandwaterreports","Medium","Website","Yes","Individual Export",NA,"pdf","some","in data","No","Descriptive","Some","Yearly or Higher","Limited Record","hub",5
