"entityID","entity","tier1and2entity","tier1and2entityID","entityIDAbove","mission","website","operational","decision","regulatory","research","level"
"n22","Water Quality Control Division","Department of Public Health & Environment",3,"n21","advancing Colorado’s health and protecting the places we live, learn, work, and play.","https://www.colorado.gov/cdphe/wqcd","Yes","No","Yes","No",3
"n23","Clean Water Program","Department of Public Health & Environment",3,"n22","advancing Colorado’s health and protecting the places we live, learn, work, and play.","https://www.colorado.gov/pacific/cdphe/clean-water","Yes","No","Yes","No",4
"n24","Safe Drinking Water Program","Department of Public Health & Environment",3,"n22","advancing Colorado’s health and protecting the places we live, learn, work, and play.","https://www.colorado.gov/pacific/cdphe/drinking-water","Yes","No","Yes","No",4
"n25","Center for Health and Environmental Data","Department of Public Health & Environment",3,"n21","provide timely, innovative and high-quality public health data collection, analysis and reporting services to drive evidence-based decisions, translate data into action and support policy development to protect and improve the health and environment of all Coloradans.","https://www.colorado.gov/pacific/cdphe/center-health-and-environmental-data","No","Yes","No","No",3
"n26","Disease Control and Environmental Epidemiology","Department of Public Health and Environment",3,"n21","advancing Colorado’s health and protecting the places we live, learn, work, and play.","https://www.colorado.gov/pacific/cdphe/dceed","No","Yes","Yes","Yes",3
"n27","Departent of Agriculture","Department of Agriculture",4,"n01","strengthen and advance Colorado agriculture; promote a safe and high-quality food supply; protect consumers; and foster responsible stewardship of the environment and natural resources.","https://www.colorado.gov/agmain","Yes","No","Yes","No",2
"n28","Conservation Services Division","Department of Agriculture",4,"n27","provides technical and financial support, leadership and statewide coordination, and regulatory oversight to public/private landowners and agricultural businesses statewide on an array of natural resource management challenges.","https://www.colorado.gov/pacific/agconservation","Yes","No","Yes","No",3
"n29","Agricultural Water Quality Program","Department of Agriculture",4,"n28","protects state waters and the environment from impairment or degradation due to the improper use of agricultural chemicals while allowing for their proper and correct use.","https://www.colorado.gov/agconservation/AWQP","Yes","No","Yes","No",4
"n30","Chemigation Program","Department of Agriculture",4,"n28","protect aquifers and surface water from possible contamination by agricultural chemicals applied through the closed irrigation systems.","https://www.colorado.gov/pacific/agconservation/chemigation","No","No","Yes","No",4
"n31","Department of Regulatory Agencies","Department of Regulatory Agencies",5,"n01","serves the public interest by effectively regulating utilities and facilities so that the people of Colorado receive safe, reliable, and reasonably-priced services consistent with the economic, environmental and social values of our state.","https://www.colorado.gov/dora","No","No","Yes","Yes",2
"n32","Colorado Public Utilities Commission","Department of Regulatory Agencies",5,"n31","effectively regulating utilities and facilities so that the people of Colorado receive safe, reliable, and reasonably-priced services consistent with the economic, environmental and social values of our state.","https://puc.colorado.gov/","No","No","Yes","Yes",3
"n33","Energy Section","Department of Regulatory Agencies",5,"n32","responsible for supporting the mission of the Commission to assure the availability of safe, reliable, adequate, and efficient electric, gas, steam and water services to utility customers at rates that are just, reasonable, and not discriminatory.","https://puc.colorado.gov/energyandwater","No","No","Yes","Yes",4
"n34","Colorado State University","Colorado State University",6,"n01",NA,"https://www.colostate.edu/","No","Yes","No","Yes",2
"n35","Colorado Climate Center","Colorado State University",6,"n34","providing information and expertise on Colorado's complex climate","https://climate.colostate.edu/","No","Yes","No","Yes",3
"n36","Colorado School of Mines","Colorado School of Mines",7,"n01","focused on science and engineering, where students and faculty together address the great challenges society faces today—particularly those related to the Earth, energy and the environment.","https://www.mines.edu/","No","Yes","No","Yes",2
"n37","Colorado Geologic Survey","Colorado School of Mines",7,"n36","To help reduce the impact of geologic hazards on the citizens of Colorado; to promote responsible economic development of mineral and energy resources; to provide geologic insight into water resources; and to proffer sound geologic advice and information to a variety of constituencies.","https://coloradogeologicalsurvey.org/","No","Yes","No","Yes",3
"n38","Water Program","Colorado Geologic Survey",7,"n37","studying how geology and human activities impact Colorado’s important groundwater resources.","https://coloradogeologicalsurvey.org/water/","No","No","No","Yes",4
"n39","Department of Transportation","Department of Transportation",8,"n01","To provide the best multi-modal transportation system for Colorado that most effectively and safely moves people, goods, and information.","https://www.codot.gov/","Yes","Yes","Yes","No",2
"n40","Environmental Programs Branch","Department of Transportation",8,"n39","manages environmental policy, environmental procedure, programmatic agreements and environmental data to inform the planning and project development process","https://www.codot.gov/programs/environmental","Yes","No","No","No",3
"n41","Water Quality Section","Department of Transportation",8,"n40","Ensure the quality of stormwater runoff is protected while Colorado's roadways are constructed, operated, and maintained;Promote innovative control measures (i.e. best management practices);Provide effective water quality education to CDOT staff; and facilitate cooperation between CDOT, watershed groups, and other water quality program managers, businesses and the public","https://www.codot.gov/programs/environmental/water-quality","Yes","No","No","No",4
"n42","Environmental Policy and Biological Resources Section","Department of Transportation",8,"n40","provide technical assistance for transportation project developmentand construction with the goal of an overall benefit to the aquatic ecosystems in Colorado","https://www.codot.gov/programs/environmental/wetlands/overview.html","Yes","No","No","No",4
"n43","Colorado Information Marketplace","Office of Information",9,"n01","Colorado's open data at your fingertips","https://data.colorado.gov/","No","Yes","No","Yes",2
