platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
p33,EGIS OpenData,n32,Department of Housing and Urban Development,HUD,HUD: EGIS OpenData,Department of Housing and Urban Development,8,https://egis-hud.opendata.arcgis.com/,High,Catalog,Yes,Web Services; Individual Export,Not Applicable,shapefile; excel,Yes,html,Some,Descriptive,Some,Irregular,Current Only,hub,5
p34,Alaska Satellite Facility DAAC,n41,Earth Science Division,NASA-ESD,NASA-ESD: Alaska Satellite Facility DAAC,National Aeronautics and Space Administration,10,https://www.asf.alaska.edu/get-data/get-started/,Medium,Map; Catalog; Website,Registration Required,Web Services; Individual Export,Not Applicable,image; pdf; shapefile; raster; hdf5; csv,Yes,xml,Yes,Administrative; Descriptive; Structural,Some,Irregular,Period of Record,hub,5
p35,Earthdata Search,n41,Earth Science Division,NASA-ESD,NASA-ESD: Earthdata Search,National Aeronautics and Space Administration,10,https://search.earthdata.nasa.gov/,High,Map; Catalog,Registration Required,Web Services; Individual Export,Not Applicable,Unknown,Yes,html,No,Descriptive,Yes,Irregular,Period of Record,hub,5
p36,Goddard Earth Sciences Data and Information Services Center,n41,Earth Science Division,NASA-ESD,NASA-ESD: Goddard Earth Sciences Data and Information Services Center,National Aeronautics and Space Administration,10,https://daac.gsfc.nasa.gov/,Medium,Catalog,Yes,Web Services; Individual Export,Not Applicable,netcdf; hdf5,Yes,pdf,Yes,Administrative; Descriptive; Structural,No,Irregular,Period of Record,hub,5
p37,Global Hydrology Resource Center DAAC,n41,Earth Science Division,NASA-ESD,NASA-ESD: Global Hydrology Resource Center DAAC,National Aeronautics and Space Administration,10,https://ghrc.nsstc.nasa.gov/home/,Medium,Map; Catalog,Yes,Web Services; Individual Export; Batch Export,Not Applicable,netcdf; hdf5,Yes,pdf,Yes,Administrative; Descriptive; Structural,No,Irregular,Period of Record,hub,5
p38,Land Processes DAAC,n41,Earth Science Division,NASA-ESD,NASA-ESD: Land Processes DAAC,National Aeronautics and Space Administration,10,https://lpdaac.usgs.gov/,High,Catalog,Registration Required,Link to Source,Indirect,Not Applicable,Yes,xml,Yes,Administrative; Descriptive,Yes,Irregular,Period of Record,hub,5
p39,National Snow and Ice Data Center DAAC,n41,Earth Science Division,NASA-ESD,NASA-ESD: National Snow and Ice Data Center DAAC,National Aeronautics and Space Administration,10,https://nsidc.org/daac,High,Catalog,Yes,Web Services; Batch Export; Individual Export,Not Applicable,ascii; xml; hdf5,Yes,xml,Yes,Administrative; Descriptive; Structural,Yes,Irregular,Period of Record,hub,5
p40,Oak Ridge National Laboratory DAAC,n41,Earth Science Division,NASA-ESD,NASA-ESD: Oak Ridge National Laboratory DAAC,National Aeronautics and Space Administration,10,https://daac.ornl.gov/,Low,Website,Registration Required,Web Services; Individual Export,Not Applicable,Unknown,Yes,html,Yes,Administrative; Descriptive; Structural,No,Irregular,Period of Record,hub,5
p41,Giovanni,n41,Earth Science Division,NASA-ESD,NASA-ESD: Giovanni,National Aeronautics and Space Administration,10,https://giovanni.gsfc.nasa.gov/giovanni/,High,Catalog,Registration Required,Link to Source; Individual Export,Not Applicable,netCDF; raster; shapefile,Yes,pdf,Yes,Administrative; Descriptive; Structural,No,Irregular,Period of Record,hub,5
p42,Global Imagery Browse Services,n41,Earth Science Division,NASA-ESD,NASA-ESD: Global Imagery Browse Services,National Aeronautics and Space Administration,10,https://worldview.earthdata.nasa.gov/,High,Catalog,Yes,Link to Source,Indirect,Unknown,Yes,pdf,Yes,Administrative; Descriptive; Structural,No,Irregular,Period of Record,hub,5
p43,Socioeconomic Data and Applications Data Center,n41,Earth Science Division,NASA-ESD,NASA-ESD: Socioeconomic Data and Applications Data Center,National Aeronautics and Space Administration,10,http://sedac.ciesin.columbia.edu/,High,Catalog,Registration Required,Web Services; Individual Export,Not Applicable,shapefile,Yes,xml,Yes,Administrative; Descriptive; Structural,Yes,Irregular,Period of Record,hub,5
p44,Joint Agricultural Weather Facility,nMix,"NOAA, USDA","NOAA, USDA",Joint: Agricultural Weather Facility,"NOAA, USDA",NA,https://www.usda.gov/oce/weather/,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Irregular,Limited Record,hub,5
p45,River Forecast Center,n42,Tennessee Valley Authority,TVA,TVA: River Forecast Center,Tennessee Valley Authority,10,https://www.tva.gov/,Low,Website,Yes,Copy and Paste; Individual Export,Not Applicable,html; csv; excel,No,No,Yes,No,No,Daily or Higher,Current Only,hub,5
p46,Agricultural Research Database System,n03,Agricultural Research Service,USDA-ARS,USDA-ARS: Agricultural Research Database System,Department of Agriculture,2,https://www.nrrig.mwa.ars.usda.gov/stewards/stewards.html,Medium,Map,Registration Required,Unknown,Not Applicable,Unknown,Yes,Unknown,Unknown,Descriptive,Unknown,Irregular,Unknown,hub,5
p47,QuickStats,n04,National Agricultural Statistics Service,USDA-NASS,USDA-NASS: QuickStats,Department of Agriculture,2,https://quickstats.nass.usda.gov/,Medium,Catalog,Yes,Web Services; Individual Export,Not Applicable,csv; html,No,No,Yes,No,No,Irregular,Period of Record,hub,5
p48,National Water and Climate Center,n05,Natural Resources Conservation Service,USDA-NRCS,USDA-NRCS: National Water and Climate Center,Department of Agriculture,2,https://www.wcc.nrcs.usda.gov/webmap/,High,Map; Catalog,Yes,Individual Export; Batch Export,Not Applicable,csv; html,Yes,in data,Yes,Administrative; Descriptive,No,Daily or Higher,Period of Record,hub,5
p49,Climate Data Online,n08,National Oceanic and Atmospheric Administration,DOC-NOAA,DOC-NOAA: Climate Data Online,Department of Commerce,3,https://www.ncdc.noaa.gov/cdo-web/,High,Map; Catalog,Yes,Web Services; FTP; Individual Export; Batch Export,Not Applicable,csv; txt; zip; pdf,Yes,pdf,Yes,Administrative; Descriptive,No,Daily or Higher,Period of Record,hub,5
p50,OneStop,n08,National Oceanic and Atmospheric Administration,DOC-NOAA,DOC-NOAA: OneStop,Department of Commerce,3,https://data.noaa.gov/onestop,High,Catalog,Yes,Web Services; FTP; Link to Source; Individual Export,Not Applicable,shapefile; csv; xml; txt; kmz,Yes,html,Some,Administrative,No,Irregular,Period of Record,hub,5
p51,Advanced Hydrologic Prediction Service,n09,National Weather Service,DOC-NWS,DOC-NWS: Advanced Hydrologic Prediction Service,Department of Commerce,3,https://water.weather.gov/ahps/,Low,Website,Yes,Web Services; Individual Export,Not Applicable,netCDF; shapefile; raster; kmz,Yes,html,No,Administrative,No,Daily or Higher,Limited Record,hub,5
p52,Climate Prediction Center,n09,National Weather Service,DOC-NWS,DOC-NWS: Climate Prediction Center,Department of Commerce,3,http://www.cpc.ncep.noaa.gov/products/monitoring_and_data/us.shtml,Low,Website,Yes,Individual Export; Copy and Paste,Not Applicable,raster; shapefile; html; png,No,No,No,No,No,Irregular,Limited Record,hub,5
p53,National Operational Hydrologic Remote Sensing Center,n09,National Weather Service,DOC-NWS,DOC-NWS: National Operational Hydrologic Remote Sensing Center,Department of Commerce,3,https://www.nohrsc.noaa.gov/,Low,Website,Yes,Individual Export; FTP,Not Applicable,netCDF; raster; shapefile; zip,Yes,html,Yes,Administrative; Descriptive; Structural,No,Daily or Higher,Period of Record,hub,5
p54,Precipitation Frequency Data Server,n09,National Weather Service,DOC-NWS,DOC-NWS: Precipitation Frequency Data Server,Department of Commerce,3,https://hdsc.nws.noaa.gov/hdsc/pfds/,High,Map; Catalog,Yes,Individual Export; FTP,Not Applicable,html; csv; xml; ascii; shapefile,No,pdf,Yes,Administrative; Descriptive,No,Daily or Higher,Limited Record,hub,5
p55,National Water Model,n08,National Oceanic and Atmospheric Administration,DOC-NOAA,DOC-NOAA: National Water Model,Department of Commerce,3,http://water.noaa.gov/map,Medium,Website,Yes,FTP; Individual Export,Not Applicable,netCDF,Yes,html,No,Descriptive,No,Daily or Higher,Limited Record,hub,5
p56,SDWIS Federal Reports Search,n36,Environmental Protection Agency,EPA,EPA: SDWIS Federal Reports Search,Environmental Protection Agency,10,https://ofmpub.epa.gov/apex/sfdw/f?p=108:200::::::,Medium,Website; Catalog,Yes,Individual Export; Batch Export; Web Services,Not Applicable,csv,No,No,No,No,No,Yearly or Higher,Limited Record,hub,5
