platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
p16,Groundwater Protection,n12,Water Quality Regional Operations,DEQ-Water Quality Regional Ops,DEQ-Water Quality Regional Ops: Groundwater Protection,Department of Environmental Quality,2,https://deq.nc.gov/groundwater-facility-maps,Medium,Map,Yes,Copy and Paste,Not Applicable,html,No,No,No,No,No,Unknown,Current Only,hub,5
p17,Collection System Facility Map,n21,"Pretreatment, Emergency Response, and Collection Systems Branch",DEQ-Facilities,DEQ-Facilities: Collection System Facility Map,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-resources-permits/wastewater-branch/collection-systems/collection-system-facility-map,Medium,Map,Yes,Copy and Paste,Not Applicable,html,No,No,No,No,No,Unknown,Current Only,hub,5
p18,Non-Discharge Branch Map,n18,Nondischarge Permitting Branch,DEQ-Non-discharge Permits,DEQ-Non-discharge Permits: Non-Discharge Branch Map,Department of Environmental Quality,2,https://ncdenr.maps.arcgis.com/apps/webappviewer/index.html?id=87eddfd9d45a40a3999c3bba4d7e0eed,Medium,Map,Yes,Copy and Paste; Web Services,Not Applicable,html; shapefile,No,No,No,No,No,Unknown,Current Only,hub,5
p19,Transportation Permitting Branch,n17,Water Quality Permitting,DEQ-Water Quality Permits,DEQ-Water Quality Permits: Transportation Permitting Branch,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-quality-permitting/transportation-permitting,None,Unknown,No,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p20,NPDES Compliance and Assistance Program,n05,Water Resources Enforcement,DEQ-NPDES,DEQ-NPDES: NPDES Compliance and Assistance Program,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-resources-enforcement/npdes-enforcement/water-quality-enforcement-actions,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Monthly or Higher,Limited Record,hub,5
p21,"Reports, Publications, and Data",n43,Water Sciences,DEQ-Water Sciences,"DEQ-Water Sciences: Reports, Publications, and Data",Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page/reports-publications-data,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Irregular,Not Applicable,hub,5
p22,Aquatic Toxicology Branch,n43,Water Sciences,DEQ-Water Sciences,DEQ-Water Sciences: Aquatic Toxicology Branch,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page/aquatic-toxicology-branch/downloads,Low,Website,No,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p23,Ambient Lake Monitoring,n15,Biological Assessment Branch,DEQ-Biological Assessment,DEQ-Biological Assessment: Ambient Lake Monitoring,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page/intensive-survey-branch,Low,Map; Website,No,None,Not Applicable,None,Yes,pdf,No,Structural,No,Irregular,Unknown,hub,5
p24,Ecosystems Branch,n43,Water Sciences,DEQ-Water Sciences,DEQ-Water Sciences: Ecosystems Branch,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page/ecosystems-branch/ambient-monitoring-system,Low,Website,No,Link to Source,Indirect,None,Yes,No,Yes,Structural,No,Yearly or Higher,Current Only,hub,5
p25,Environmental Documents,n03,Water Infrastructure,DEQ-Water Infrastructure,DEQ-Water Infrastructure: Environmental Documents,Department of Environmental Quality,2,http://portal.ncdenr.org/web/wi/environmental-documents,Low,Website,Yes,Individual Export,Not Applicable,pdf,Yes,in data,Yes,Structural,No,Irregular,Not Applicable,hub,5
p26,Master Plan,n03,Water Infrastructure,DEQ-Water Infrastructure,DEQ-Water Infrastructure: Master Plan,Department of Environmental Quality,2,http://portal.ncdenr.org/web/wi/master-plan,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Irregular,Not Applicable,hub,5
p27,Environmental Finance Center Reports,n03,Water Infrastructure,DEQ-Water Infrastructure,DEQ-Water Infrastructure: Environmental Finance Center Reports,Department of Environmental Quality,2,http://portal.ncdenr.org/web/wi/efc-reports,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Irregular,Not Applicable,hub,5
p28,Dam Safety,n24,"Energy, Mineral, and Land Resources",DEQ-EMLR,DEQ-EMLR: Dam Safety,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/energy-mineral-land-resources/energy-mineral-land-permits/dam-safety,Low,Website,Yes,Batch Export,Not Applicable,excel,No,No,No,No,No,Irregular,Current Only,hub,5
p29,Stormwater,n24,"Energy, Mineral, and Land Resources",DEQ-EMLR,DEQ-EMLR: Stormwater,Department of Environmental Quality,2,https://deq.nc.gov/sw-maps,Medium,Map; Website,Yes,Individual Export,Not Applicable,shapefile; zip; excel,Yes,pdf,No,Administrative; Descriptive,No,Irregular,Current Only,hub,5
p30,NPDES MS4 Permitting,n24,"Energy, Mineral, and Land Resources",DEQ-EMLR,DEQ-EMLR: NPDES MS4 Permitting,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/energy-mineral-land-resources/energy-mineral-land-permits/stormwater-permits/npdes-ms4,Medium,Map; Website,Yes,None,Not Applicable,None,No,No,No,No,No,Unknown,Not Applicable,hub,5
p31,Water Supply Watershed Protection Program,n24,"Energy, Mineral, and Land Resources",DEQ-EMLR,DEQ-EMLR: Water Supply Watershed Protection Program,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/energy-mineral-land-resources/water-supply-watershed-protection-program,Medium,Map,Yes,Web Services,Not Applicable,shapefile,Yes,json; html,No,Descriptive,No,Irregular,Current Only,hub,5
p32,Coastal Management Science and Data,n27,Coastal Management,DEQ-Coastal,DEQ-Coastal: Coastal Management Science and Data,Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/coastal-management/coastal-management-data/setback-factor-maps-1998-shoreline/wetlands-gis-data,Medium,Map; Website,Yes,Individual Export; Web Services,Not Applicable,shapefile,Yes,Broken Link,Unknown,Unknown,Unknown,Irregular,Current Only,hub,5
p33,Application Tracker,NA,Permits and Rules,DEQ-Permits and Rules,DEQ-Permits and Rules: Application Tracker,Departmetn of Environmental Quality,2,https://deq.nc.gov/permits-regulations/permit-guidance/environmental-application-tracker,High,Map,No,None,Not Applicable,None,No,No,No,No,No,Daily or Higher,Current Only,hub,5
p34,NCDEQ Online GIS,n02,Department of Environmental Quality,DEQ-Online GIS,DEQ-Online GIS: NCDEQ Online GIS,Department of Environmental Quality,2,http://data-ncdenr.opendata.arcgis.com/,High,Catalog,Yes,Individual Export; Web Services,Not Applicable,shapefile; raster; kml; geodatabase; csv,Yes,json; html,No,Administrative; Descriptive,Yes,Irregular,Varies,hub,5
